FOLIO_INT,Calorias_semana,Proteina_semana,CarboHidratos_semana,Lipidos_semana
2022_15054026_02,9218.3,1034.09,422.01800000000003,427.325
2022_15054028_01,2450.8,304.8,89.278,123.16
2022_15058009_05,7064.5,1092.74,225.88,179.92
2022_15058035_01,6753.2,844.67,230.114,252.66
2022_15070006_01,9554.7,1265.79,318.361,411.41
2022_15070008_03,16049.55,2196.9700000000003,576.156,534.58
2022_15070021_01,14696.9,2356.89,366.908,507.95
2022_15070022_01,10907.8,1339.31,440.278,543.52
2022_15070024_02,10942.0,1447.83,372.71,453.985
2022_15082007_01,5488.8,875.67,171.8,136.36
2022_15082015_01,10272.1,1793.7,392.81,272.83
2022_15082020_02,5497.6,666.8100000000001,245.51,243.67
2022_15082029_02,7763.1,1113.12,483.08799999999997,295.0
2022_15092015_03,17235.5,2299.91,671.7099999999999,617.3100000000001
2022_15092025_01,6375.85,939.4200000000001,198.768,236.945
2022_15104001_02,6539.1,703.16,312.90999999999997,225.2
2022_15104006_02,9484.4,1257.1399999999999,396.916,380.3
2022_15104009_01,5429.6,827.89,157.89,203.15
2022_15104025_02,5986.5,701.77,213.736,263.18
2022_15104027_03,9316.8,1304.25,350.92199999999997,336.5
2022_15106017_01,3642.95,524.8,116.148,147.69
2022_15106025_03,4528.8,643.87,143.06,166.27
